"",,,"2011-12",,"2012-13",,"2013-14",,"2014-15",,"2015-16",
"New Britain School District","=""0890011""","Female",662,13.6,710,14.6,692,14.5,520,10.9,493,10.3
"New Britain School District","=""0890011""","Male",1213,22.1,1226,22.6,1317,24.2,1003,18.3,901,16.5
"New Canaan School District","=""0900011""","Female","*","*","N/A","N/A",7,0.3,7,0.3,12,0.6
"New Canaan School District","=""0900011""","Male","*","*","N/A","N/A",20,0.9,13,0.6,15,0.7
"New Fairfield School District","=""0910011""","Female",22,1.6,39,3.0,36,2.8,20,1.6,21,1.8
"New Fairfield School District","=""0910011""","Male",100,6.6,74,5.0,53,3.7,66,4.7,45,3.4
"New Hartford School District","=""0920011""","Female","N/A","N/A","N/A","N/A","*","*","*","*","N/A","N/A"
"New Hartford School District","=""0920011""","Male","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Female",797,7.8,567,5.4,533,5.0,599,5.6,625,5.7
"New Haven School District","=""0930011""","Male",1426,13.6,1104,10.3,1082,9.9,1322,12.0,1167,10.5
"New London School District","=""0950011""","Female",191,13.8,196,13.7,187,13.0,191,12.5,176,10.8
"New London School District","=""0950011""","Male",372,22.8,450,26.2,430,25.0,447,25.9,352,19.4
"New Milford School District","=""0960011""","Female",64,2.8,80,3.6,61,2.8,50,2.4,53,2.6
"New Milford School District","=""0960011""","Male",164,6.7,193,8.0,188,8.0,182,7.9,166,7.3
"Newington School District","=""0940011""","Female",70,3.2,79,3.7,78,3.7,52,2.5,43,2.1
"Newington School District","=""0940011""","Male",216,9.5,178,8.0,197,9.1,156,7.3,150,7.3
"Newtown School District","=""0970011""","Female",15,0.6,25,1.0,21,0.9,20,0.9,13,0.6
"Newtown School District","=""0970011""","Male",99,3.6,93,3.5,81,3.2,99,4.0,105,4.4
"Norfolk School District","=""0980011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"Norfolk School District","=""0980011""","Male","N/A","N/A","N/A","N/A","N/A","N/A","*","*","*","*"
"North Branford School District","=""0990011""","Female",44,4.0,36,3.4,29,2.9,37,3.8,25,2.7
"North Branford School District","=""0990011""","Male",104,9.6,118,11.2,85,8.2,94,9.3,76,8.0
"North Canaan School District","=""1000011""","Female","N/A","N/A","*","*","N/A","N/A","N/A","N/A","N/A","N/A"
"North Canaan School District","=""1000011""","Male","*","*","*","*",8,5.5,"*","*","N/A","N/A"
"North Haven School District","=""1010011""","Female",25,1.4,46,2.7,32,1.9,25,1.5,24,1.5
"North Haven School District","=""1010011""","Male",74,3.9,97,5.3,70,4.0,86,5.1,72,4.4
"North Stonington School District","=""1020011""","Female",9,2.4,11,2.9,8,2.2,8,2.2,7,2.1
"North Stonington School District","=""1020011""","Male",46,11.3,19,4.7,24,6.0,25,6.3,24,6.0
"Norwalk School District","=""1030011""","Female",334,6.1,314,5.8,218,4.0,207,3.7,221,3.9
"Norwalk School District","=""1030011""","Male",669,11.6,607,10.5,486,8.3,410,6.9,438,7.3
"Norwich Free Academy District","=""9010022""","Female",156,12.5,169,14.1,128,10.4,99,8.4,97,8.2
"Norwich Free Academy District","=""9010022""","Male",183,17.3,222,20.9,187,17.1,181,16.3,171,15.6
"Norwich School District","=""1040011""","Female",145,7.6,109,5.8,77,4.2,69,3.8,67,3.8
"Norwich School District","=""1040011""","Male",269,13.0,245,12.2,209,10.6,185,9.3,215,10.9
"Odyssey Community School District","=""2630013""","Female","*","*","*","*","*","*","*","*","*","*"
"Odyssey Community School District","=""2630013""","Male","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Female",11,1.4,15,1.9,9,1.2,14,1.9,9,1.3
"Old Saybrook School District","=""1060011""","Male",33,4.3,49,6.7,25,3.5,33,4.7,26,3.8
"Orange School District","=""1070011""","Female","*","*","*","*","*","*","*","*","*","*"
"Orange School District","=""1070011""","Male","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Female",14,1.3,13,1.2,10,1.0,7,0.7,"*","*"
"Oxford School District","=""1080011""","Male",44,4.1,34,3.2,33,3.2,30,3.0,"*","*"
"Park City Prep Charter School District","=""2830013""","Female",23,19.5,"*","*",12,9.0,16,9.2,14,7.9
"Park City Prep Charter School District","=""2830013""","Male",35,26.7,"*","*",26,21.0,41,22.9,48,27.3
"Path Academy District","=""2930013""","Female","N/A","N/A","N/A","N/A","N/A","N/A",21,37.5,6,9.8
"Path Academy District","=""2930013""","Male","N/A","N/A","N/A","N/A","N/A","N/A",32,44.4,14,19.2
"Plainfield School District","=""1090011""","Female",78,6.2,69,5.5,33,2.7,44,3.8,53,4.6
"Plainfield School District","=""1090011""","Male",196,14.9,175,14.2,141,11.4,153,12.6,162,13.5
"Plainville School District","=""1100011""","Female",41,3.5,33,2.9,20,1.7,30,2.6,44,3.8
"Plainville School District","=""1100011""","Male",80,6.3,78,6.3,69,5.7,84,6.6,87,6.9
"Plymouth School District","=""1110011""","Female",19,2.4,16,2.1,14,1.9,14,1.9,19,2.6
"Plymouth School District","=""1110011""","Male",57,6.4,62,7.0,45,5.3,50,6.0,63,7.8
"Pomfret School District","=""1120011""","Female","*","*","*","*","N/A","N/A","*","*","*","*"
"Pomfret School District","=""1120011""","Male","*","*","*","*",6,2.7,"*","*","*","*"
"Portland School District","=""1130011""","Female",15,2.2,10,1.4,14,2.0,14,2.1,11,1.7
"Portland School District","=""1130011""","Male",37,5.3,47,6.8,38,5.5,47,6.9,39,5.6
"Preston School District","=""1140011""","Female","N/A","N/A","*","*","*","*","*","*","*","*"
"Preston School District","=""1140011""","Male",9,4.5,"*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","Female",23,3.9,29,4.7,15,2.5,15,2.5,19,3.1
"Putnam School District","=""1160011""","Male",99,14.1,86,12.7,74,11.0,59,9.2,59,9.7
"Redding School District","=""1170011""","Female","*","*","*","*","*","*","*","*","*","*"
"Redding School District","=""1170011""","Male","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","Female",9,3.9,11,5.0,7,3.1,17,8.2,17,7.5
"Regional School District 01","=""2010012""","Male",28,12.2,37,18.5,28,14.0,43,21.7,32,14.3
"Regional School District 04","=""2040012""","Female",19,3.7,16,3.1,11,2.2,"*","*","*","*"
"Regional School District 04","=""2040012""","Male",40,8.6,37,7.9,29,6.1,"*","*","*","*"
"Regional School District 05","=""2050012""","Female",26,2.2,13,1.1,13,1.1,16,1.4,25,2.2
"Regional School District 05","=""2050012""","Male",108,8.5,60,4.9,67,5.5,37,3.1,53,4.6
"Regional School District 06","=""2060012""","Female",26,4.9,16,3.1,7,1.4,"*","*",9,1.8
"Regional School District 06","=""2060012""","Male",51,9.8,45,8.9,57,11.6,"*","*",51,10.7
"Regional School District 07","=""2070012""","Female",22,3.7,6,1.0,11,1.9,18,3.4,6,1.1
"Regional School District 07","=""2070012""","Male",48,8.5,44,8.0,64,11.6,52,9.8,47,8.2
"Regional School District 08","=""2080012""","Female",29,3.5,22,2.7,27,3.3,22,2.8,16,2.0
"Regional School District 08","=""2080012""","Male",118,12.6,106,11.2,86,9.4,68,7.9,56,6.9
"Regional School District 09","=""2090012""","Female","*","*","*","*",6,1.1,"*","*","*","*"
"Regional School District 09","=""2090012""","Male","*","*","*","*",9,1.7,"*","*","*","*"
"Regional School District 10","=""2100012""","Female",18,1.4,15,1.2,11,0.9,10,0.8,9,0.8
"Regional School District 10","=""2100012""","Male",92,6.5,84,6.0,77,5.7,66,5.0,42,3.3
"Regional School District 11","=""2110012""","Female",10,7.4,7,5.1,7,5.0,8,5.9,"*","*"
"Regional School District 11","=""2110012""","Male",34,19.4,31,19.7,28,17.8,23,15.8,"*","*"
"Regional School District 12","=""2120012""","Female",6,1.5,9,2.2,9,2.2,9,2.4,7,1.9
"Regional School District 12","=""2120012""","Male",43,9.0,23,5.2,30,7.4,29,7.5,30,8.3
"Regional School District 13","=""2130012""","Female","*","*",7,0.7,"*","*",6,0.7,"*","*"
"Regional School District 13","=""2130012""","Male","*","*",32,3.1,"*","*",40,4.3,"*","*"
"Regional School District 14","=""2140012""","Female",20,1.9,12,1.2,14,1.4,7,0.7,14,1.5
"Regional School District 14","=""2140012""","Male",50,5.2,45,4.9,25,2.8,18,2.1,28,3.3
"Regional School District 15","=""2150012""","Female",37,1.8,27,1.4,33,1.7,35,1.9,37,2.0
"Regional School District 15","=""2150012""","Male",107,4.8,82,3.8,71,3.4,77,3.8,84,4.2
"Regional School District 16","=""2160012""","Female",24,1.9,18,1.5,16,1.3,25,2.1,13,1.1
"Regional School District 16","=""2160012""","Male",81,6.5,78,6.3,74,6.3,67,5.8,89,7.7
"Regional School District 17","=""2170012""","Female",29,2.5,23,2.0,18,1.6,14,1.3,15,1.5
"Regional School District 17","=""2170012""","Male",79,6.5,68,5.7,68,5.7,63,5.5,59,5.2
"Regional School District 18","=""2180012""","Female",10,1.4,"*","*","*","*",6,0.9,"*","*"
"Regional School District 18","=""2180012""","Male",28,3.7,"*","*","*","*",20,2.9,"*","*"
"Regional School District 19","=""2190012""","Female",28,4.6,28,4.5,17,2.8,12,1.9,24,3.8
"Regional School District 19","=""2190012""","Male",48,7.9,50,8.3,56,9.5,47,8.2,37,6.7
"Ridgefield School District","=""1180011""","Female",18,0.7,9,0.3,6,0.2,15,0.6,8,0.3
"Ridgefield School District","=""1180011""","Male",81,2.9,57,2.1,57,2.1,38,1.4,59,2.3
"Rocky Hill School District","=""1190011""","Female",24,1.9,16,1.3,13,1.1,23,1.9,7,0.5
"Rocky Hill School District","=""1190011""","Male",96,7.4,54,4.4,33,2.7,44,3.5,37,2.8
"Salem School District","=""1210011""","Female","*","*","N/A","N/A","*","*","*","*","*","*"
"Salem School District","=""1210011""","Male","*","*","*","*","*","*","*","*","*","*"
"Salisbury School District","=""1220011""","Female","*","*","N/A","N/A","*","*","*","*","*","*"
"Salisbury School District","=""1220011""","Male","*","*",9,5.6,"*","*","*","*","*","*"
"Scotland School District","=""1230011""","Female","*","*","*","*","*","*","*","*","*","*"
"Scotland School District","=""1230011""","Male","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","Female",43,3.8,50,4.5,59,5.2,72,6.4,51,4.7
"Seymour School District","=""1240011""","Male",129,10.9,133,11.3,157,13.1,154,13.1,106,9.3
"Sharon School District","=""1250011""","Female","N/A","N/A","*","*","*","*","N/A","N/A","N/A","N/A"
"Sharon School District","=""1250011""","Male","*","*","*","*","*","*",6,6.7,"N/A","N/A"
"Shelton School District","=""1260011""","Female",120,4.7,97,3.8,77,3.2,64,2.6,74,3.1
"Shelton School District","=""1260011""","Male",216,8.0,207,7.8,198,7.7,174,6.9,181,7.1
"Sherman School District","=""1270011""","Female","*","*","*","*","*","*","*","*","N/A","N/A"
"Sherman School District","=""1270011""","Male","*","*","N/A","N/A","*","*","*","*",10,5.9
"Side By Side Charter School District","=""2700013""","Female","*","*","*","*","*","*","*","*","*","*"
"Side By Side Charter School District","=""2700013""","Male","*","*","*","*","*","*","*","*","*","*"
"Simsbury School District","=""1280011""","Female",34,1.5,25,1.2,18,0.9,16,0.8,20,1.0
"Simsbury School District","=""1280011""","Male",90,3.6,64,2.7,56,2.4,62,2.8,72,3.3
"Somers School District","=""1290011""","Female",20,2.5,23,2.9,12,1.6,21,2.9,18,2.6
"Somers School District","=""1290011""","Male",63,7.7,39,4.8,37,4.8,47,6.2,37,4.9
"South Windsor School District","=""1320011""","Female",47,2.2,32,1.5,40,1.9,33,1.6,29,1.4
"South Windsor School District","=""1320011""","Male",116,4.9,114,5.0,111,5.0,98,4.5,98,4.6
"Southington School District","=""1310011""","Female",63,1.9,71,2.1,45,1.4,60,1.8,59,1.8
"Southington School District","=""1310011""","Male",197,5.7,179,5.2,162,4.7,188,5.5,157,4.6
"Sprague School District","=""1330011""","Female",10,5.8,11,6.4,"*","*",7,4.2,6,3.8
"Sprague School District","=""1330011""","Male",15,7.6,18,9.2,"*","*",25,11.7,26,12.9
"Stafford School District","=""1340011""","Female",52,5.7,34,4.0,27,3.3,33,4.2,23,3.0
"Stafford School District","=""1340011""","Male",107,11.7,87,10.1,67,8.1,69,8.6,54,6.8
"Stamford Academy District","=""2820013""","Female","*","*",13,21.3,22,39.3,10,17.2,14,19.7
"Stamford Academy District","=""2820013""","Male","*","*",23,25.3,34,45.3,31,40.3,18,23.4
"Stamford Charter School for Excellence District","=""2960013""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Stamford Charter School for Excellence District","=""2960013""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Stamford School District","=""1350011""","Female",200,2.6,142,1.8,150,1.9,125,1.6,202,2.6
"Stamford School District","=""1350011""","Male",412,5.1,316,3.8,342,4.1,327,3.9,402,4.8
"Sterling School District","=""1360011""","Female",9,3.8,"N/A","N/A",6,2.8,"*","*","*","*"
"Sterling School District","=""1360011""","Male",29,10.2,"N/A","N/A",28,10.5,"*","*","*","*"
"Stonington School District","=""1370011""","Female",64,5.6,39,3.4,43,3.8,38,3.5,28,2.6
"Stonington School District","=""1370011""","Male",120,9.5,114,9.2,104,8.6,71,6.0,93,8.2
"Stratford School District","=""1380011""","Female",160,4.4,172,4.8,132,3.7,135,3.9,137,4.0
"Stratford School District","=""1380011""","Male",343,9.2,416,11.0,328,8.7,356,9.9,329,9.2
"Suffield School District","=""1390011""","Female",40,3.2,23,1.8,20,1.6,11,0.9,39,3.3
"Suffield School District","=""1390011""","Male",102,8.2,68,5.7,59,5.0,42,3.6,104,8.8
"The Bridge Academy District","=""2690013""","Female",32,22.5,23,16.5,8,5.8,17,12.2,20,13.6
"The Bridge Academy District","=""2690013""","Male",35,28.0,41,32.0,31,24.0,32,25.4,30,24.0
"The Gilbert School District","=""9020022""","Female",30,11.9,34,16.0,47,20.4,42,18.4,27,11.2
"The Gilbert School District","=""9020022""","Male",77,27.2,86,30.6,103,32.1,129,38.7,67,21.1
"Thomaston School District","=""1400011""","Female",24,4.6,15,3.0,12,2.6,11,2.4,17,3.8
"Thomaston School District","=""1400011""","Male",50,9.2,35,6.9,41,8.5,42,9.2,48,10.6
"Thompson School District","=""1410011""","Female",22,3.7,12,2.1,16,3.1,7,1.5,17,3.5
"Thompson School District","=""1410011""","Male",75,12.1,67,11.0,51,9.3,40,7.2,63,11.3
"Tolland School District","=""1420011""","Female",23,1.6,24,1.7,18,1.4,11,0.8,25,1.9
"Tolland School District","=""1420011""","Male",76,5.0,87,6.0,65,4.6,49,3.6,73,5.6
"Torrington School District","=""1430011""","Female",136,6.4,103,4.9,94,4.6,98,4.9,97,4.9
"Torrington School District","=""1430011""","Male",354,14.7,317,13.4,298,12.6,242,10.3,251,10.8
"Trailblazers Academy District","=""2780013""","Female","N/A","N/A","*","*","*","*","*","*",12,19.7
"Trailblazers Academy District","=""2780013""","Male","*","*","*","*","*","*","*","*",27,39.7
"Trumbull School District","=""1440011""","Female",13,0.4,15,0.4,12,0.4,16,0.5,17,0.5
"Trumbull School District","=""1440011""","Male",107,3.0,103,2.9,93,2.7,78,2.3,64,1.9
"Unified School District #1","=""3360015""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","N/A","*"
"Unified School District #1","=""3360015""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Unified School District #2","=""3470015""","Female","*","*","*","*","*","*",15,19.7,8,14.3
"Unified School District #2","=""3470015""","Male","*","*","*","*","*","*",66,36.7,63,46.3
"Union School District","=""1450011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Union School District","=""1450011""","Male","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Vernon School District","=""1460011""","Female",116,6.8,102,6.1,110,6.7,92,5.8,104,6.6
"Vernon School District","=""1460011""","Male",213,11.3,202,11.1,184,10.6,220,13.0,204,12.4
"Voluntown School District","=""1470011""","Female","*","*","N/A","N/A","N/A","N/A","*","*","*","*"
"Voluntown School District","=""1470011""","Male","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","Female",125,3.8,104,3.3,82,2.6,87,2.8,48,1.6
"Wallingford School District","=""1480011""","Male",284,8.9,282,9.0,250,8.1,219,7.2,189,6.3
"Waterbury School District","=""1510011""","Female",1497,16.9,1436,15.9,1363,14.8,1316,14.2,1254,13.6
"Waterbury School District","=""1510011""","Male",2410,25.4,2257,23.4,2345,24.0,2323,23.6,2297,23.2
"Waterford School District","=""1520011""","Female",38,2.9,31,2.4,47,3.8,43,3.4,39,3.1
"Waterford School District","=""1520011""","Male",134,9.3,106,7.7,104,7.9,119,9.1,102,7.9
"Watertown School District","=""1530011""","Female",81,5.4,68,4.6,74,5.2,51,3.8,46,3.5
"Watertown School District","=""1530011""","Male",176,11.0,176,11.2,171,11.2,113,7.4,138,8.9
"West Hartford School District","=""1550011""","Female",137,2.7,87,1.8,101,2.1,103,2.1,111,2.3
"West Hartford School District","=""1550011""","Male",310,5.9,224,4.3,282,5.5,276,5.5,311,6.2
"West Haven School District","=""1560011""","Female",266,8.8,234,7.9,163,5.6,149,5.1,138,4.8
"West Haven School District","=""1560011""","Male",467,14.6,377,11.9,321,10.3,259,8.4,287,9.3
"Westbrook School District","=""1540011""","Female",22,5.0,11,2.7,"*","*","N/A","N/A","*","*"
"Westbrook School District","=""1540011""","Male",55,11.5,36,7.7,"*","*","*","*","*","*"
"Weston School District","=""1570011""","Female",10,0.8,9,0.8,"*","*","*","*","*","*"
"Weston School District","=""1570011""","Male",24,1.9,42,3.3,"*","*","*","*","*","*"
"Westport School District","=""1580011""","Female",16,0.6,10,0.4,14,0.5,22,0.8,11,0.4
"Westport School District","=""1580011""","Male",68,2.3,31,1.0,75,2.5,81,2.7,66,2.2
"Wethersfield School District","=""1590011""","Female",30,1.7,32,1.7,35,1.9,29,1.6,42,2.3
"Wethersfield School District","=""1590011""","Male",107,5.6,103,5.4,86,4.6,94,5.1,120,6.5
"Willington School District","=""1600011""","Female","*","*","*","*","*","*","*","*","N/A","N/A"
"Willington School District","=""1600011""","Male","*","*","*","*","*","*","*","*",8,3.5
"Wilton School District","=""1610011""","Female",10,0.5,6,0.3,"*","*",6,0.3,11,0.5
"Wilton School District","=""1610011""","Male",43,1.9,39,1.8,"*","*",64,2.9,33,1.6
"Winchester School District","=""1620011""","Female","*","*","*","*","*","*","*","*","*","*"
"Winchester School District","=""1620011""","Male","*","*","*","*","*","*","*","*","*","*"
"Windham School District","=""1630011""","Female",195,13.0,172,11.4,198,13.0,146,9.6,131,8.4
"Windham School District","=""1630011""","Male",403,22.7,358,20.8,366,21.2,312,18.3,328,18.5
"Windsor Locks School District","=""1650011""","Female",50,5.8,42,4.9,41,5.0,33,4.1,39,4.9
"Windsor Locks School District","=""1650011""","Male",105,11.6,102,11.3,78,8.7,94,10.7,104,12.3
"Windsor School District","=""1640011""","Female",179,10.4,139,8.3,132,8.3,112,7.3,131,8.5
"Windsor School District","=""1640011""","Male",307,16.6,287,16.3,255,14.6,250,14.8,286,16.8
"Wolcott School District","=""1660011""","Female",39,3.0,29,2.3,30,2.5,23,2.0,25,2.2
"Wolcott School District","=""1660011""","Male",115,8.4,85,6.4,97,7.5,83,6.7,84,6.8
"Woodbridge School District","=""1670011""","Female","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","*","*"
"Woodbridge School District","=""1670011""","Male","*","*","*","*","*","*","*","*","*","*"
"Woodstock Academy District","=""9030022""","Female",31,5.4,18,3.3,15,2.9,18,3.4,24,4.5
"Woodstock Academy District","=""9030022""","Male",64,12.1,42,8.2,37,7.2,47,9.7,34,6.9
"Woodstock School District","=""1690011""","Female","*","*","*","*",6,1.3,"*","*","*","*"
"Woodstock School District","=""1690011""","Male","*","*","*","*",9,2.0,"*","*","*","*"

